Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
M/F,Jose Izquierdo (11831877),Jose Izquierdo,11831877,M/F/UTIL,4400,BOU vs BHA 10:00AM ET,BHA,3.72
D,Diogo Dalot (11831230),Diogo Dalot,11831230,D/UTIL,4400,CAR vs MU 12:30PM ET,MU,2.31
F,Mason Greenwood (11831873),Mason Greenwood,11831873,F/UTIL,4400,CAR vs MU 12:30PM ET,MU,0
M/F,Nathaniel Mendez-Laing (11831880),Nathaniel Mendez-Laing,11831880,M/F/UTIL,4400,CAR vs MU 12:30PM ET,CAR,3.08
M,Rajiv van La Parra (11831560),Rajiv van La Parra,11831560,M/UTIL,4400,HUD vs SOU 10:00AM ET,HUD,5.9
F,Jordan Ayew (11831875),Jordan Ayew,11831875,F/UTIL,4400,MCI vs CRY 10:00AM ET,CRY,3.46
GK,Heurelho Gomes (11831160),Heurelho Gomes,11831160,GK,4400,WHU vs WAT 10:00AM ET,WAT,0
GK,Pontus Dahlberg (11831161),Pontus Dahlberg,11831161,GK,4400,WHU vs WAT 10:00AM ET,WAT,0
D,Adam Masina (11831232),Adam Masina,11831232,D/UTIL,4400,WHU vs WAT 10:00AM ET,WAT,6.81
D,Antonio Valencia (11831234),Antonio Valencia,11831234,D/UTIL,4300,CAR vs MU 12:30PM ET,MU,4.19
M,Steven Davis (11831558),Steven Davis,11831558,M/UTIL,4300,HUD vs SOU 10:00AM ET,SOU,2.75
F,Elias Kachunga (11831883),Elias Kachunga,11831883,F/UTIL,4300,HUD vs SOU 10:00AM ET,HUD,2.33
GK,Sergio Rico (11831162),Sergio Rico,11831162,GK,4300,NEW vs FUL 10:00AM ET,FUL,5.12
D,Fabian Schar (11831236),Fabian Schar,11831236,D/UTIL,4300,NEW vs FUL 10:00AM ET,NEW,4.61
D,Joe Bryan (11831240),Joe Bryan,11831240,D/UTIL,4300,NEW vs FUL 10:00AM ET,FUL,6.11
M,Jean Michael Seri (11831566),Jean Michael Seri,11831566,M/UTIL,4300,NEW vs FUL 10:00AM ET,FUL,6.66
D,Arthur Masuaku (11831238),Arthur Masuaku,11831238,D/UTIL,4300,WHU vs WAT 10:00AM ET,WHU,4.25
GK,Mat Ryan (11831163),Mat Ryan,11831163,GK,4200,BOU vs BHA 10:00AM ET,BHA,6.59
M, Fred (11831562), Fred,11831562,M/UTIL,4200,CAR vs MU 12:30PM ET,MU,5.38
F,Fousseni Diabate (11831885),Fousseni Diabate,11831885,F/UTIL,4200,CHE vs LEI 10:00AM ET,LEI,2.5
GK, Fabri (11831164), Fabri,11831164,GK,4200,NEW vs FUL 10:00AM ET,FUL,12
GK,Marcus Bettinelli (11831165),Marcus Bettinelli,11831165,GK,4200,NEW vs FUL 10:00AM ET,FUL,1.07
GK,Luca Ashby-Hammond (11831166),Luca Ashby-Hammond,11831166,GK,4200,NEW vs FUL 10:00AM ET,FUL,0
D,Cyrus Christie (11831244),Cyrus Christie,11831244,D/UTIL,4200,NEW vs FUL 10:00AM ET,FUL,4.54
M,Jacob Murphy (11831564),Jacob Murphy,11831564,M/UTIL,4200,NEW vs FUL 10:00AM ET,NEW,2.61
D,Aaron Cresswell (11831242),Aaron Cresswell,11831242,D/UTIL,4200,WHU vs WAT 10:00AM ET,WHU,4.43
GK,Jason Steele (11831167),Jason Steele,11831167,GK,4100,BOU vs BHA 10:00AM ET,BHA,0
GK,David Button (11831168),David Button,11831168,GK,4100,BOU vs BHA 10:00AM ET,BHA,0
F,Kelechi Iheanacho (11831887),Kelechi Iheanacho,11831887,F/UTIL,4100,CHE vs LEI 10:00AM ET,LEI,3.31
D,Oleksandr Zinchenko (11831246),Oleksandr Zinchenko,11831246,D/UTIL,4100,MCI vs CRY 10:00AM ET,MCI,6.5
F,Christian Benteke (11831889),Christian Benteke,11831889,F/UTIL,4100,MCI vs CRY 10:00AM ET,CRY,4.62
D,Paul Dummett (11831248),Paul Dummett,11831248,D/UTIL,4100,NEW vs FUL 10:00AM ET,NEW,4.39
D,Kiko Femenia (11831250),Kiko Femenia,11831250,D/UTIL,4100,WHU vs WAT 10:00AM ET,WAT,4.02
M,Manuel Lanzini (11831568),Manuel Lanzini,11831568,M/UTIL,4100,WHU vs WAT 10:00AM ET,WHU,0
F,Kenneth Zohore (11831893),Kenneth Zohore,11831893,F/UTIL,4000,CAR vs MU 12:30PM ET,CAR,1.79
D,Antonio Rudiger (11831252),Antonio Rudiger,11831252,D/UTIL,4000,CHE vs LEI 10:00AM ET,CHE,3.98
D,Ben Chilwell (11831258),Ben Chilwell,11831258,D/UTIL,4000,CHE vs LEI 10:00AM ET,LEI,7.61
M,N'Golo Kante (11831570),N'Golo Kante,11831570,M/UTIL,4000,CHE vs LEI 10:00AM ET,CHE,4.75
F,Michael Obafemi (11831891),Michael Obafemi,11831891,F/UTIL,4000,HUD vs SOU 10:00AM ET,SOU,2.94
D,Nicolas Otamendi (11831254),Nicolas Otamendi,11831254,D/UTIL,4000,MCI vs CRY 10:00AM ET,MCI,4.32
D,Aaron Wan-Bissaka (11831262),Aaron Wan-Bissaka,11831262,D/UTIL,4000,MCI vs CRY 10:00AM ET,CRY,7.36
D,DeAndre Yedlin (11831256),DeAndre Yedlin,11831256,D/UTIL,4000,NEW vs FUL 10:00AM ET,NEW,4.98
D,Pablo Zabaleta (11831260),Pablo Zabaleta,11831260,D/UTIL,4000,WHU vs WAT 10:00AM ET,WHU,5.29
D, Bernardo (11831266), Bernardo,11831266,D/UTIL,3900,BOU vs BHA 10:00AM ET,BHA,4.89
GK,Neil Etheridge (11831169),Neil Etheridge,11831169,GK,3900,CAR vs MU 12:30PM ET,CAR,5.91
F,Gary Madine (11831902),Gary Madine,11831902,F/UTIL,3900,CAR vs MU 12:30PM ET,CAR,0.2
M,Wilfred Ndidi (11831572),Wilfred Ndidi,11831572,M/UTIL,3900,CHE vs LEI 10:00AM ET,LEI,5.85
M/F,Shinji Okazaki (11831895),Shinji Okazaki,11831895,M/F/UTIL,3900,CHE vs LEI 10:00AM ET,LEI,1.64
F,Sam Gallagher (11831898),Sam Gallagher,11831898,F/UTIL,3900,HUD vs SOU 10:00AM ET,SOU,0
D,Marc Navarro (11831264),Marc Navarro,11831264,D/UTIL,3900,WHU vs WAT 10:00AM ET,WAT,5.25
M,Etienne Capoue (11831574),Etienne Capoue,11831574,M/UTIL,3900,WHU vs WAT 10:00AM ET,WAT,5.85
F,Adalberto Penaranda (11831900),Adalberto Penaranda,11831900,F/UTIL,3900,WHU vs WAT 10:00AM ET,WAT,0
D,Martin Montoya (11831274),Martin Montoya,11831274,D/UTIL,3800,BOU vs BHA 10:00AM ET,BHA,3.83
M,Jefferson Lerma (11831584),Jefferson Lerma,11831584,M/UTIL,3800,BOU vs BHA 10:00AM ET,BOU,4.81
GK,Brian Murphy (11831170),Brian Murphy,11831170,GK,3800,CAR vs MU 12:30PM ET,CAR,0
GK,Alex Smithies (11831171),Alex Smithies,11831171,GK,3800,CAR vs MU 12:30PM ET,CAR,0
D,Sol Bamba (11831276),Sol Bamba,11831276,D/UTIL,3800,CAR vs MU 12:30PM ET,CAR,5.66
M,Mateo Kovacic (11831576),Mateo Kovacic,11831576,M/UTIL,3800,CHE vs LEI 10:00AM ET,CHE,3.72
D,Yan Valery (11831270),Yan Valery,11831270,D/UTIL,3800,HUD vs SOU 10:00AM ET,SOU,1.17
D,Fabian Delph (11831268),Fabian Delph,11831268,D/UTIL,3800,MCI vs CRY 10:00AM ET,MCI,3.44
M,Phil Foden (11831578),Phil Foden,11831578,M/UTIL,3800,MCI vs CRY 10:00AM ET,MCI,0.94
F,Alexander Sørloth (11831904),Alexander Sørloth,11831904,F/UTIL,3800,MCI vs CRY 10:00AM ET,CRY,0.56
M,Ki Sung-yueng (11831580),Ki Sung-yueng,11831580,M/UTIL,3800,NEW vs FUL 10:00AM ET,NEW,5.02
D,Fabian Balbuena (11831272),Fabian Balbuena,11831272,D/UTIL,3800,WHU vs WAT 10:00AM ET,WHU,4.42
M,Mark Noble (11831582),Mark Noble,11831582,M/UTIL,3800,WHU vs WAT 10:00AM ET,WHU,3.33
D, Bruno (11831286), Bruno,11831286,D/UTIL,3700,BOU vs BHA 10:00AM ET,BHA,4.62
M,Andrew Surman (11831595),Andrew Surman,11831595,M/UTIL,3700,BOU vs BHA 10:00AM ET,BOU,0.83
F,Viktor Gyokeres (11831906),Viktor Gyokeres,11831906,F/UTIL,3700,BOU vs BHA 10:00AM ET,BHA,0
D,Marcos Rojo (11831278),Marcos Rojo,11831278,D/UTIL,3700,CAR vs MU 12:30PM ET,MU,2.88
GK,Kasper Schmeichel (11831172),Kasper Schmeichel,11831172,GK,3700,CHE vs LEI 10:00AM ET,LEI,5.26
M, Jorginho (11831586), Jorginho,11831586,M/UTIL,3700,CHE vs LEI 10:00AM ET,CHE,2.25
M/F,Demarai Gray (11831590),Demarai Gray,11831590,M/F/UTIL,3700,CHE vs LEI 10:00AM ET,LEI,5.98
D,Jack Stephens (11831284),Jack Stephens,11831284,D/UTIL,3700,HUD vs SOU 10:00AM ET,SOU,3.75
D,Terence Kongolo (11831288),Terence Kongolo,11831288,D/UTIL,3700,HUD vs SOU 10:00AM ET,HUD,4.88
D,Aymeric Laporte (11831280),Aymeric Laporte,11831280,D/UTIL,3700,MCI vs CRY 10:00AM ET,MCI,4.12
M,Adrian Bernabe (11831588),Adrian Bernabe,11831588,M/UTIL,3700,MCI vs CRY 10:00AM ET,MCI,0
D,Javier Manquillo (11831282),Javier Manquillo,11831282,D/UTIL,3700,NEW vs FUL 10:00AM ET,NEW,4.14
F,Floyd Ayite (11831908),Floyd Ayite,11831908,F/UTIL,3700,NEW vs FUL 10:00AM ET,FUL,0.96
M,Pedro Obiang (11831593),Pedro Obiang,11831593,M/UTIL,3700,WHU vs WAT 10:00AM ET,WHU,3.16
D,Shane Duffy (11831294),Shane Duffy,11831294,D/UTIL,3600,BOU vs BHA 10:00AM ET,BHA,4.75
M,Marc Pugh (11831603),Marc Pugh,11831603,M/UTIL,3600,BOU vs BHA 10:00AM ET,BOU,0
F,Aaron Connolly (11831912),Aaron Connolly,11831912,F/UTIL,3600,BOU vs BHA 10:00AM ET,BHA,0
M,Nemanja Matic (11831597),Nemanja Matic,11831597,M/UTIL,3600,CAR vs MU 12:30PM ET,MU,2.11
GK,Eldin Jakupovic (11831173),Eldin Jakupovic,11831173,GK,3600,CHE vs LEI 10:00AM ET,LEI,0
