Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
M,Nathaniel Chalobah (11831681),Nathaniel Chalobah,11831681,M/UTIL,3200,WHU vs WAT 10:00AM ET,WAT,0.67
D,Tyrone Mings (11831366),Tyrone Mings,11831366,D/UTIL,3100,BOU vs BHA 10:00AM ET,BOU,1.94
D,Gaetan Bong (11831368),Gaetan Bong,11831368,D/UTIL,3100,BOU vs BHA 10:00AM ET,BHA,3.46
M,Nnamdi Ofoborh (11831705),Nnamdi Ofoborh,11831705,M/UTIL,3100,BOU vs BHA 10:00AM ET,BOU,0
M,Davy Propper (11831707),Davy Propper,11831707,M/UTIL,3100,BOU vs BHA 10:00AM ET,BHA,2.77
D,Phil Jones (11831360),Phil Jones,11831360,D/UTIL,3100,CAR vs MU 12:30PM ET,MU,2.17
M,Tahith Chong (11831693),Tahith Chong,11831693,M/UTIL,3100,CAR vs MU 12:30PM ET,MU,0
M,Kadeem Harris (11831711),Kadeem Harris,11831711,M/UTIL,3100,CAR vs MU 12:30PM ET,CAR,2.94
M,Andy King (11831697),Andy King,11831697,M/UTIL,3100,CHE vs LEI 10:00AM ET,LEI,0
M,Cheikhou Kouyate (11831701),Cheikhou Kouyate,11831701,M/UTIL,3100,MCI vs CRY 10:00AM ET,CRY,2.93
D,Federico Fernandez (11831362),Federico Fernandez,11831362,D/UTIL,3100,NEW vs FUL 10:00AM ET,NEW,3.08
M,Sean Longstaff (11831695),Sean Longstaff,11831695,M/UTIL,3100,NEW vs FUL 10:00AM ET,NEW,0
M,Stefan Johansen (11831709),Stefan Johansen,11831709,M/UTIL,3100,NEW vs FUL 10:00AM ET,FUL,0.44
